dt	A
04.01.10 09:45	132.23
04.01.10 10:00	132.76
04.01.10 10:15	132.7995
04.01.10 10:30	132.82
04.01.10 10:45	132.76
04.01.10 11:00	132.6381
04.01.10 11:15	132.37
04.01.10 11:30	132.51
04.01.10 11:45	132.6319
04.01.10 12:00	132.69
04.01.10 12:15	132.63
04.01.10 12:30	132.47
04.01.10 12:45	132.336
04.01.10 13:00	132.42
04.01.10 13:15	132.253
04.01.10 13:30	132.43
04.01.10 13:45	132.57
04.01.10 14:00	132.61
04.01.10 14:15	132.59
04.01.10 14:30	132.62
04.01.10 14:45	132.63
04.01.10 15:00	132.48
04.01.10 15:15	132.46
04.01.10 15:30	132.4525
04.01.10 15:45	132.4
04.01.10 16:00	132.45
05.01.10 09:45	130.76
05.01.10 10:00	130.83
05.01.10 10:15	131.08
05.01.10 10:30	131.415
05.01.10 10:45	131.15
05.01.10 11:00	131.33
05.01.10 11:15	131.3
05.01.10 11:30	130.86
05.01.10 11:45	130.66
05.01.10 12:00	130.62
05.01.10 12:15	130.4
05.01.10 12:30	130.405
05.01.10 12:45	130.51
05.01.10 13:00	130.58
05.01.10 13:15	130.51
05.01.10 13:30	130.28
05.01.10 13:45	130.329
05.01.10 14:00	130.34
05.01.10 14:15	130.2
05.01.10 14:30	130.22
05.01.10 14:45	130.35
05.01.10 15:00	130.52
05.01.10 15:15	130.6
05.01.10 15:30	130.695
05.01.10 15:45	130.85
05.01.10 16:00	130.8
06.01.10 09:45	130.72
06.01.10 10:00	130.98
06.01.10 10:15	131.27
06.01.10 10:30	131.35
06.01.10 10:45	131.14
06.01.10 11:00	131.2
06.01.10 11:15	131.06
06.01.10 11:30	130.97
06.01.10 11:45	130.73
06.01.10 12:00	130.4
06.01.10 12:15	130.15
06.01.10 12:30	130.19
06.01.10 12:45	130.03
06.01.10 13:00	130.27
06.01.10 13:15	130.435
06.01.10 13:30	130.4
06.01.10 13:45	130.17
06.01.10 14:00	130.1122
06.01.10 14:15	130.155
06.01.10 14:30	130.2
06.01.10 14:45	130.38
06.01.10 15:00	130.295
06.01.10 15:15	130.3
06.01.10 15:30	130.24
06.01.10 15:45	130.07
06.01.10 16:00	130.02
07.01.10 09:45	129.78
07.01.10 10:00	129.21
07.01.10 10:15	129.47
07.01.10 10:30	129.33
07.01.10 10:45	129.79
07.01.10 11:00	130.12
07.01.10 11:15	130.11
07.01.10 11:30	129.96
07.01.10 11:45	129.82
07.01.10 12:00	129.84
07.01.10 12:15	129.76
07.01.10 12:30	129.82
07.01.10 12:45	129.67
07.01.10 13:00	129.76
07.01.10 13:15	129.67
07.01.10 13:30	129.68
07.01.10 13:45	129.628
07.01.10 14:00	129.38
07.01.10 14:15	129.52
07.01.10 14:30	129.54
07.01.10 14:45	129.55
07.01.10 15:00	129.61
07.01.10 15:15	129.448
07.01.10 15:30	129.31
07.01.10 15:45	129.5
07.01.10 16:00	129.53
08.01.10 09:45	129.28
08.01.10 10:00	129.59
08.01.10 10:15	129.898
08.01.10 10:30	129.99
08.01.10 10:45	129.83
08.01.10 11:00	130.11
08.01.10 11:15	129.95
08.01.10 11:30	129.99
08.01.10 11:45	130.228
08.01.10 12:00	130.4
08.01.10 12:15	130.35
08.01.10 12:30	130.249
08.01.10 12:45	130.18
08.01.10 13:00	130.1601
08.01.10 13:15	130.2499
08.01.10 13:30	130.306
08.01.10 13:45	130.37
08.01.10 14:00	130.46
08.01.10 14:15	130.61
08.01.10 14:30	130.51
08.01.10 14:45	130.4
08.01.10 15:00	130.4
08.01.10 15:15	130.5005
08.01.10 15:30	130.5001
08.01.10 15:45	130.76
08.01.10 16:00	130.83
11.01.10 09:45	129.37
11.01.10 10:00	129.31
11.01.10 10:15	128.8001
11.01.10 10:30	129.33
11.01.10 10:45	129.436
11.01.10 11:00	129.38
11.01.10 11:15	129.122
11.01.10 11:30	129.12
11.01.10 11:45	129.19
11.01.10 12:00	129.4999
11.01.10 12:15	129.63
11.01.10 12:30	129.65
11.01.10 12:45	129.46
11.01.10 13:00	129.425
11.01.10 13:15	129.44
11.01.10 13:30	129.14
11.01.10 13:45	129.21
11.01.10 14:00	129.226
11.01.10 14:15	129.21
11.01.10 14:30	129.3
11.01.10 14:45	129.2
11.01.10 15:00	129.18
11.01.10 15:15	129.17
11.01.10 15:30	129.38
11.01.10 15:45	129.52
11.01.10 16:00	129.46
12.01.10 09:45	129.71
12.01.10 10:00	130.595
12.01.10 10:15	130.61
12.01.10 10:30	130.6
12.01.10 10:45	130.57
12.01.10 11:00	130.7001
12.01.10 11:15	130.73
12.01.10 11:30	130.79
12.01.10 11:45	130.5105
12.01.10 12:00	130.81
12.01.10 12:15	131.11
12.01.10 12:30	130.6
12.01.10 12:45	130.3
12.01.10 13:00	130.08
12.01.10 13:15	130.1
12.01.10 13:30	130.159
12.01.10 13:45	130.25
12.01.10 14:00	130.26
12.01.10 14:15	130.2
12.01.10 14:30	130.26
12.01.10 14:45	130.3081
12.01.10 15:00	130.73
12.01.10 15:15	130.43
12.01.10 15:30	130.5775
12.01.10 15:45	130.24
12.01.10 16:00	130.52
13.01.10 09:45	130.6722
13.01.10 10:00	130.37
13.01.10 10:15	130.19
13.01.10 10:30	129.79
13.01.10 10:45	129.33
13.01.10 11:00	129.525
13.01.10 11:15	129.65
13.01.10 11:30	130.17
13.01.10 11:45	130.305
13.01.10 12:00	130.215
13.01.10 12:15	130.42
13.01.10 12:30	130.56
13.01.10 12:45	130.8
13.01.10 13:00	130.63
13.01.10 13:15	130.82
13.01.10 13:30	130.77
13.01.10 13:45	130.78
13.01.10 14:00	130.76
13.01.10 14:15	130.9
13.01.10 14:30	130.54
13.01.10 14:45	130.56
13.01.10 15:00	130.605
13.01.10 15:15	130.4
13.01.10 15:30	130.38
13.01.10 15:45	130.42
13.01.10 16:00	130.29
14.01.10 09:45	130.875
14.01.10 10:00	131.51
14.01.10 10:15	131.87
14.01.10 10:30	131.86
14.01.10 10:45	131.75
14.01.10 11:00	131.85
14.01.10 11:15	131.96
14.01.10 11:30	131.93
14.01.10 11:45	131.88
14.01.10 12:00	131.81
14.01.10 12:15	131.876
14.01.10 12:30	131.9
14.01.10 12:45	132.14
14.01.10 13:00	132.17
14.01.10 13:15	132.19
14.01.10 13:30	132.19
14.01.10 13:45	132.24
14.01.10 14:00	132.175
14.01.10 14:15	132.31
14.01.10 14:30	132.26
14.01.10 14:45	132.3819
14.01.10 15:00	132.43
14.01.10 15:15	132.54
14.01.10 15:30	132.636
14.01.10 15:45	132.49
14.01.10 16:00	132.32
15.01.10 09:45	132.73
15.01.10 10:00	132.08
15.01.10 10:15	131.55
15.01.10 10:30	131.911
15.01.10 10:45	131.85
15.01.10 11:00	131.9
15.01.10 11:15	131.958
15.01.10 11:30	131.92
15.01.10 11:45	132.04
15.01.10 12:00	131.81
15.01.10 12:15	131.67
15.01.10 12:30	131.1899
15.01.10 12:45	131.115
15.01.10 13:00	131.18
15.01.10 13:15	131.23
15.01.10 13:30	131.43
15.01.10 13:45	131.5905
15.01.10 14:00	131.74
15.01.10 14:15	131.65
15.01.10 14:30	131.53
15.01.10 14:45	131.64
15.01.10 15:00	131.81
15.01.10 15:15	132.02
15.01.10 15:30	131.9799
15.01.10 15:45	131.91
15.01.10 16:00	131.79
19.01.10 09:45	132.45
19.01.10 10:00	132.63
19.01.10 10:15	132.482
19.01.10 10:30	132.84
19.01.10 10:45	133.16
19.01.10 11:00	133.0985
19.01.10 11:15	133.1
19.01.10 11:30	133.02
19.01.10 11:45	132.85
19.01.10 12:00	132.78
19.01.10 12:15	132.9
19.01.10 12:30	132.98
19.01.10 12:45	133
19.01.10 13:00	133.1
19.01.10 13:15	133.12
19.01.10 13:30	133.1263
19.01.10 13:45	132.9419
19.01.10 14:00	133.06
19.01.10 14:15	133.044
19.01.10 14:30	133.1305
19.01.10 14:45	133.0899
19.01.10 15:00	133.21
19.01.10 15:15	133.33
19.01.10 15:30	133.98
19.01.10 15:45	134
19.01.10 16:00	134.14
20.01.10 09:45	130.41
20.01.10 10:00	130.68
20.01.10 10:15	130.23
20.01.10 10:30	129.7
20.01.10 10:45	129.98
20.01.10 11:00	129.75
20.01.10 11:15	129.564
20.01.10 11:30	129.55
20.01.10 11:45	129.5175
20.01.10 12:00	129.36
20.01.10 12:15	129.6387
20.01.10 12:30	129.47
20.01.10 12:45	129.42
20.01.10 13:00	129.235
20.01.10 13:15	129.04
20.01.10 13:30	129.22
20.01.10 13:45	129.5281
20.01.10 14:00	129.795
20.01.10 14:15	129.77
20.01.10 14:30	129.81
20.01.10 14:45	129.85
20.01.10 15:00	130.33
20.01.10 15:15	130.4
20.01.10 15:30	130.46
20.01.10 15:45	130.46
20.01.10 16:00	130.28
21.01.10 09:45	129.62
21.01.10 10:00	129.7875
