dt	A
04.01.2010 9:45	31.28
04.01.2010 10:00	31.22
04.01.2010 10:15	31.3
04.01.2010 10:30	31.49
04.01.2010 10:45	31.57
04.01.2010 11:00	31.58
04.01.2010 11:15	31.61
04.01.2010 11:30	31.58
04.01.2010 11:45	31.54
04.01.2010 12:00	31.562
04.01.2010 12:15	31.55
04.01.2010 12:30	31.54
04.01.2010 12:45	31.43
04.01.2010 13:00	31.39
04.01.2010 13:15	31.365
04.01.2010 13:30	31.35
04.01.2010 13:45	31.36
04.01.2010 14:00	31.36
04.01.2010 14:15	31.34
04.01.2010 14:30	31.38
04.01.2010 14:45	31.42
04.01.2010 15:00	31.39
04.01.2010 15:15	31.34
04.01.2010 15:30	31.345
04.01.2010 15:45	31.31
04.01.2010 16:00	31.31
05.01.2010 9:45	30.88
05.01.2010 10:00	30.9
05.01.2010 10:15	30.99
05.01.2010 10:30	31
05.01.2010 10:45	31.005
05.01.2010 11:00	30.955
05.01.2010 11:15	30.97
05.01.2010 11:30	30.96
05.01.2010 11:45	30.92
05.01.2010 12:00	30.8039
05.01.2010 12:15	30.83
05.01.2010 12:30	30.82
05.01.2010 12:45	30.82
05.01.2010 13:00	30.86
05.01.2010 13:15	30.88
05.01.2010 13:30	30.92
05.01.2010 13:45	30.91
05.01.2010 14:00	30.9
05.01.2010 14:15	30.8525
05.01.2010 14:30	30.83
05.01.2010 14:45	30.92
05.01.2010 15:00	30.975
05.01.2010 15:15	30.995
05.01.2010 15:30	31
05.01.2010 15:45	30.98
05.01.2010 16:00	30.96
06.01.2010 9:45	30.8
06.01.2010 10:00	30.88
06.01.2010 10:15	30.93
06.01.2010 10:30	30.9665
06.01.2010 10:45	30.93
06.01.2010 11:00	30.97
06.01.2010 11:15	30.94
06.01.2010 11:30	30.91
06.01.2010 11:45	30.93
06.01.2010 12:00	30.87
06.01.2010 12:15	30.79
06.01.2010 12:30	30.81
06.01.2010 12:45	30.84
06.01.2010 13:00	30.88
06.01.2010 13:15	30.86
06.01.2010 13:30	30.855
06.01.2010 13:45	30.82
06.01.2010 14:00	30.81
06.01.2010 14:15	30.85
06.01.2010 14:30	30.88
06.01.2010 14:45	30.91
06.01.2010 15:00	30.92
06.01.2010 15:15	30.875
06.01.2010 15:30	30.85
06.01.2010 15:45	30.85
06.01.2010 16:00	30.84
07.01.2010 9:45	30.72
07.01.2010 10:00	30.53
07.01.2010 10:15	30.6
07.01.2010 10:30	30.64
07.01.2010 10:45	30.74
07.01.2010 11:00	30.75
07.01.2010 11:15	30.762
07.01.2010 11:30	30.71
07.01.2010 11:45	30.67
07.01.2010 12:00	30.7
07.01.2010 12:15	30.69
07.01.2010 12:30	30.69
07.01.2010 12:45	30.67
07.01.2010 13:00	30.6
07.01.2010 13:15	30.575
07.01.2010 13:30	30.595
07.01.2010 13:45	30.59
07.01.2010 14:00	30.58
07.01.2010 14:15	30.59
07.01.2010 14:30	30.605
07.01.2010 14:45	30.63
07.01.2010 15:00	30.62
07.01.2010 15:15	30.71
07.01.2010 15:30	30.73
07.01.2010 15:45	30.7916
07.01.2010 16:00	30.8
08.01.2010 9:45	30.51
08.01.2010 10:00	30.75
08.01.2010 10:15	30.79
08.01.2010 10:30	30.77
08.01.2010 10:45	30.72
08.01.2010 11:00	30.77
08.01.2010 11:15	30.72
08.01.2010 11:30	30.67
08.01.2010 11:45	30.72
08.01.2010 12:00	30.77
08.01.2010 12:15	30.73
08.01.2010 12:30	30.7105
08.01.2010 12:45	30.71
08.01.2010 13:00	30.66
08.01.2010 13:15	30.71
08.01.2010 13:30	30.72
08.01.2010 13:45	30.75
08.01.2010 14:00	30.75
08.01.2010 14:15	30.78
08.01.2010 14:30	30.74
08.01.2010 14:45	30.74
08.01.2010 15:00	30.72
08.01.2010 15:15	30.732
08.01.2010 15:30	30.78
08.01.2010 15:45	30.84
08.01.2010 16:00	30.83
11.01.2010 9:45	30.86
11.01.2010 10:00	30.79
11.01.2010 10:15	30.76
11.01.2010 10:30	30.9
11.01.2010 10:45	30.9
11.01.2010 11:00	30.9999
11.01.2010 11:15	30.91
11.01.2010 11:30	30.918
11.01.2010 11:45	30.91
11.01.2010 12:00	30.89
11.01.2010 12:15	30.83
11.01.2010 12:30	30.79
11.01.2010 12:45	30.81
11.01.2010 13:00	30.755
11.01.2010 13:15	30.7
11.01.2010 13:30	30.71
11.01.2010 13:45	30.68
11.01.2010 14:00	30.69
11.01.2010 14:15	30.69
11.01.2010 14:30	30.775
11.01.2010 14:45	30.81
11.01.2010 15:00	30.8
11.01.2010 15:15	30.815
11.01.2010 15:30	30.85
11.01.2010 15:45	30.825
11.01.2010 16:00	30.81
12.01.2010 9:45	30.5
12.01.2010 10:00	30.5
12.01.2010 10:15	30.52
12.01.2010 10:30	30.55
12.01.2010 10:45	30.519
12.01.2010 11:00	30.55
12.01.2010 11:15	30.5
12.01.2010 11:30	30.54
12.01.2010 11:45	30.53
12.01.2010 12:00	30.54
12.01.2010 12:15	30.471
12.01.2010 12:30	30.352
12.01.2010 12:45	30.28
12.01.2010 13:00	30.255
12.01.2010 13:15	30.27
12.01.2010 13:30	30.3
12.01.2010 13:45	30.24
12.01.2010 14:00	30.28
12.01.2010 14:15	30.27
12.01.2010 14:30	30.28
12.01.2010 14:45	30.23
12.01.2010 15:00	30.37
12.01.2010 15:15	30.38
12.01.2010 15:30	30.43
12.01.2010 15:45	30.38
12.01.2010 16:00	30.46
13.01.2010 9:45	30.255
13.01.2010 10:00	30.26
13.01.2010 10:15	30.11
13.01.2010 10:30	30.11
13.01.2010 10:45	30.24
13.01.2010 11:00	30.31
13.01.2010 11:15	30.19
13.01.2010 11:30	30.3
13.01.2010 11:45	30.32
13.01.2010 12:00	30.34
13.01.2010 12:15	30.36
13.01.2010 12:30	30.42
13.01.2010 12:45	30.44
13.01.2010 13:00	30.42
13.01.2010 13:15	30.48
13.01.2010 13:30	30.49
13.01.2010 13:45	30.52
13.01.2010 14:00	30.541
13.01.2010 14:15	30.51
13.01.2010 14:30	30.56
13.01.2010 14:45	30.66
